# Firme canoniche dei 64 frattali I Ching (Phase 70).
# Generato da: cargo run --release --bin generate-fractal-signatures
#
# ID = lower.index() * 8 + upper.index()
# Ogni trigramma fissa la dim associata al suo valore canonico Yang:
#   ☰ Cielo=0.90 (Agency)    ☷ Terra=0.10 (Permanenza)
#   ☳ Tuono=0.30 (Intensità) ☵ Acqua=0.30 (Tempo)
#   ☶ Montagna=0.30 (Confine) ☴ Vento=0.70 (Complessità)
#   ☲ Fuoco=0.70 (Definizione) ☱ Lago=0.70 (Valenza)
# Le dim non controllate dai due trigrammi restano a 0.50 (neutro).
#
# Header dim: agency=0 permanenza=1 intensita=2 tempo=3
#             confine=4 complessita=5 definizione=6 valenza=7
id	lower	upper	name	agency	permanenza	intensita	tempo	confine	complessita	definizione	valenza
37	☶Mont.	☴Vento	ECOSISTEMA	0.50	0.50	0.50	0.50	0.30	0.70	0.50	0.50
38	☶Mont.	☲Fuoco	SIMBOLO	0.50	0.50	0.50	0.50	0.30	0.50	0.70	0.50
39	☶Mont.	☱Lago	SOGLIA	0.50	0.50	0.50	0.50	0.30	0.50	0.50	0.70
40	☴Vento	☰Cielo	STRATEGIA	0.90	0.50	0.50	0.50	0.50	0.70	0.50	0.50
41	☴Vento	☷Terra	CULTURA	0.50	0.10	0.50	0.50	0.50	0.70	0.50	0.50
42	☴Vento	☳Tuono	CAOS	0.50	0.50	0.30	0.50	0.50	0.70	0.50	0.50
43	☴Vento	☵Acqua	PROCESSO	0.50	0.50	0.50	0.30	0.50	0.70	0.50	0.50
44	☴Vento	☶Mont.	SISTEMA	0.50	0.50	0.50	0.50	0.30	0.70	0.50	0.50
45	☴Vento	☴Vento	INTRECCIO	0.50	0.50	0.50	0.50	0.50	0.70	0.50	0.50
46	☴Vento	☲Fuoco	LINGUAGGIO	0.50	0.50	0.50	0.50	0.50	0.70	0.70	0.50
47	☴Vento	☱Lago	COMUNICAZIONE	0.50	0.50	0.50	0.50	0.50	0.70	0.50	0.70
48	☲Fuoco	☰Cielo	COSCIENZA	0.90	0.50	0.50	0.50	0.50	0.50	0.70	0.50
49	☲Fuoco	☷Terra	CONOSCENZA	0.50	0.10	0.50	0.50	0.50	0.50	0.70	0.50
50	☲Fuoco	☳Tuono	PERCEZIONE	0.50	0.50	0.30	0.50	0.50	0.50	0.70	0.50
51	☲Fuoco	☵Acqua	INTUIZIONE	0.50	0.50	0.50	0.30	0.50	0.50	0.70	0.50
52	☲Fuoco	☶Mont.	IDEA	0.50	0.50	0.50	0.50	0.30	0.50	0.70	0.50
53	☲Fuoco	☴Vento	PENSIERO	0.50	0.50	0.50	0.50	0.50	0.70	0.70	0.50
54	☲Fuoco	☲Fuoco	VERITÀ	0.50	0.50	0.50	0.50	0.50	0.50	0.70	0.50
55	☲Fuoco	☱Lago	ESPRESSIONE	0.50	0.50	0.50	0.50	0.50	0.50	0.70	0.70
56	☱Lago	☰Cielo	DESIDERIO	0.90	0.50	0.50	0.50	0.50	0.50	0.50	0.70
57	☱Lago	☷Terra	AMORE	0.50	0.10	0.50	0.50	0.50	0.50	0.50	0.70
58	☱Lago	☳Tuono	EMOZIONE	0.50	0.50	0.30	0.50	0.50	0.50	0.50	0.70
59	☱Lago	☵Acqua	EMPATIA	0.50	0.50	0.50	0.30	0.50	0.50	0.50	0.70
60	☱Lago	☶Mont.	ACCORDO	0.50	0.50	0.50	0.50	0.30	0.50	0.50	0.70
61	☱Lago	☴Vento	SOCIETÀ	0.50	0.50	0.50	0.50	0.50	0.70	0.50	0.70
62	☱Lago	☲Fuoco	ETICA	0.50	0.50	0.50	0.50	0.50	0.50	0.70	0.70
63	☱Lago	☱Lago	ARMONIA	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.70
