# Archi curati manualmente da apply_curation_1..34.py (parole A-G)
# soggetto	relazione	oggetto	confidenza
abbellire	SIMILAR_TO	impreziosire	0.85
abbellire	SIMILAR_TO	ornare	0.90
abbeveratoio	HAS	acqua	0.95
abbeveratoio	IS_A	luogo	0.85
abbeveratoio	IS_A	oggetto	0.95
abbeveratoio	USED_FOR	bere	0.95
abbiente	IS_A	qualità	0.95
abbiente	OPPOSITE_OF	indigente	0.90
abbiente	OPPOSITE_OF	povero	0.95
abbiente	SIMILAR_TO	benestante	0.95
abbiente	SIMILAR_TO	ricco	0.90
abbigliamento	IS_A	copertura	0.90
abbigliamento	IS_A	oggetto	0.95
abbigliamento	SIMILAR_TO	abito	0.90
abbigliamento	SIMILAR_TO	vestito	0.95
abbigliamento	USED_FOR	coprire	0.95
abbigliamento	USED_FOR	proteggere	0.95
abbigliare	CAUSES	decoro	0.85
abbigliare	CAUSES	protezione	0.90
abbigliare	IS_A	azione	0.95
abbigliare	OPPOSITE_OF	denudare	0.90
abbigliare	OPPOSITE_OF	spogliare	0.95
abbigliare	SIMILAR_TO	vestire	0.95
abbinare	CAUSES	armonia	0.85
abbinare	CAUSES	coppia	0.95
abbinare	IS_A	azione	0.95
abbinare	IS_A	composizione	0.85
abbinare	OPPOSITE_OF	dividere	0.85
abbinare	OPPOSITE_OF	separare	0.90
abbinare	SIMILAR_TO	accoppiare	0.95
abbinare	SIMILAR_TO	unire	0.80
abboccare	CAUSES	cattura	0.95
abboccare	CAUSES	errore	0.85
abboccare	IS_A	azione	0.95
abboccare	OPPOSITE_OF	intuire	0.80
abbonare	CAUSES	accesso	0.95
abbonare	CAUSES	diritto	0.85
abbonare	IS_A	azione	0.95
abbonare	IS_A	contratto	0.85
abbonare	OPPOSITE_OF	cancellare	0.85
abbonare	OPPOSITE_OF	disdire	0.95
abbondante	IS_A	qualità	0.90
abbondante	IS_A	quantità	0.95
abbondante	OPPOSITE_OF	insufficiente	0.90
abbondante	OPPOSITE_OF	poco	0.85
abbondante	OPPOSITE_OF	scarso	0.95
abbondante	SIMILAR_TO	copioso	0.90
abbondante	SIMILAR_TO	ricco	0.80
abbondanza	CAUSES	sicurezza	0.85
abbondanza	CAUSES	soddisfazione	0.90
abbondanza	CAUSES	spreco	0.80
abbondanza	IS_A	quantità	0.95
abbondanza	IS_A	stato	0.95
abbondanza	OPPOSITE_OF	mancanza	0.95
abbondanza	OPPOSITE_OF	povertà	0.90
abbondanza	OPPOSITE_OF	scarsità	0.95
abbondanza	SIMILAR_TO	ricchezza	0.85
abbondare	CAUSES	eccesso	0.85
abbondare	IS_A	stato	0.90
abbondare	OPPOSITE_OF	mancare	0.90
abbondare	OPPOSITE_OF	scarseggiare	0.95
abbracciare	CAUSES	calore	0.85
abbracciare	CAUSES	conforto	0.90
abbracciare	CAUSES	unione	0.85
abbracciare	IS_A	azione	0.95
abbracciare	IS_A	gesto	0.95
abbracciare	OPPOSITE_OF	allontanare	0.90
abbracciare	OPPOSITE_OF	respingere	0.95
abbracciare	SIMILAR_TO	stringere	0.85
abbraccio	CAUSES	conforto	0.95
abbraccio	CAUSES	sicurezza	0.85
abbraccio	IS_A	contatto	0.90
abbraccio	IS_A	gesto	0.95
abbraccio	OPPOSITE_OF	rifiuto	0.90
abbreviare	CAUSES	riduzione	0.95
abbreviare	CAUSES	risparmio	0.85
abbreviare	IS_A	azione	0.95
abbreviare	OPPOSITE_OF	allungare	0.95
abbreviare	OPPOSITE_OF	prolungare	0.95
abbreviare	SIMILAR_TO	accorciare	0.95
abbreviare	SIMILAR_TO	ridurre	0.85
abbreviare	SIMILAR_TO	sintetizzare	0.80
abdicare	CAUSES	fine	0.85
abdicare	IS_A	azione	0.95
abdicare	IS_A	rinuncia	0.90
abdicare	OPPOSITE_OF	assumere	0.90
abdicare	SIMILAR_TO	dimettersi	0.90
abdicare	SIMILAR_TO	rinunciare	0.85
aberrazione	CAUSES	disordine	0.85
aberrazione	CAUSES	orrore	0.80
aberrazione	IS_A	anomalia	0.95
aberrazione	IS_A	errore	0.90
aberrazione	OPPOSITE_OF	normalità	0.95
aberrazione	OPPOSITE_OF	regola	0.90
aberrazione	SIMILAR_TO	mostruosità	0.80
abete	HAS	ago	0.95
abete	HAS	legno	0.95
abete	IS_A	albero	0.95
abile	IS_A	qualità	0.95
abile	OPPOSITE_OF	inabile	0.95
abile	OPPOSITE_OF	incapace	0.90
abile	OPPOSITE_OF	maldestro	0.85
abile	SIMILAR_TO	capace	0.95
abile	SIMILAR_TO	esperto	0.90
abilità	CAUSES	efficienza	0.95
abilità	CAUSES	successo	0.90
abilità	IS_A	capacità	0.95
abilità	IS_A	virtù	0.85
abilità	OPPOSITE_OF	incompetenza	0.90
abilità	OPPOSITE_OF	inettitudine	0.95
abilità	SIMILAR_TO	competenza	0.95
abilità	SIMILAR_TO	talento	0.85
abissale	IS_A	qualità	0.90
abissale	OPPOSITE_OF	superficiale	0.95
abissale	SIMILAR_TO	immenso	0.85
abissale	SIMILAR_TO	profondo	0.90
abisso	CAUSES	paura	0.90
abisso	CAUSES	vertigine	0.90
abisso	HAS	oscurità	0.95
abisso	IS_A	luogo	0.95
abisso	IS_A	vuoto	0.90
abisso	OPPOSITE_OF	superficie	0.95
abisso	OPPOSITE_OF	vetta	0.90
abisso	SIMILAR_TO	baratro	0.95
abisso	SIMILAR_TO	voragine	0.90
abitacolo	HAS	sedile	0.90
abitacolo	IS_A	spazio	0.95
abitacolo	PART_OF	veicolo	0.95
abitacolo	USED_FOR	proteggere	0.90
abitacolo	USED_FOR	viaggiare	0.85
abitante	DOES	abitare	1.00
abitante	IS_A	persona	0.95
abitante	SIMILAR_TO	cittadino	0.85
abitante	SIMILAR_TO	residente	0.95
abitare	CAUSES	appartenenza	0.85
abitare	CAUSES	radicamento	0.80
abitare	IS_A	azione	0.95
abitare	IS_A	stato	0.85
abitare	OPPOSITE_OF	abbandonare	0.85
abitare	OPPOSITE_OF	nomadare	0.80
abitare	SIMILAR_TO	risiedere	0.95
abitare	SIMILAR_TO	vivere	0.85
abituare	CAUSES	abitudine	0.95
abituare	CAUSES	adattamento	0.90
abituare	IS_A	azione	0.95
abituare	OPPOSITE_OF	disabituare	0.95
abituare	OPPOSITE_OF	sorprendere	0.80
abitudine	CAUSES	noia	0.75
abitudine	CAUSES	sicurezza	0.85
abitudine	IS_A	comportamento	0.95
abitudine	IS_A	stato	0.80
abitudine	OPPOSITE_OF	imprevisto	0.90
abitudine	OPPOSITE_OF	novità	0.95
abitudine	SIMILAR_TO	consuetudine	0.95
abitudine	SIMILAR_TO	prassi	0.90
abiurare	CAUSES	distacco	0.90
abiurare	IS_A	azione	0.90
abiurare	IS_A	rinuncia	0.95
abiurare	OPPOSITE_OF	affermare	0.95
abiurare	OPPOSITE_OF	giurare	0.90
abiurare	SIMILAR_TO	rinnegare	0.95
abnegazione	CAUSES	altruismo	0.90
abnegazione	CAUSES	sacrificio	0.95
abnegazione	IS_A	rinuncia	0.90
abnegazione	IS_A	virtù	0.95
abnegazione	OPPOSITE_OF	egoismo	0.95
abnegazione	OPPOSITE_OF	narcisismo	0.90
abnorme	IS_A	qualità	0.95
abnorme	OPPOSITE_OF	normale	1.00
abnorme	OPPOSITE_OF	regolare	0.95
abnorme	SIMILAR_TO	mostruoso	0.80
abnorme	SIMILAR_TO	smisurato	0.90
abolire	CAUSES	cancellazione	0.90
abolire	CAUSES	fine	0.95
abolire	IS_A	azione	0.95
abolire	OPPOSITE_OF	creare	0.85
abolire	OPPOSITE_OF	istituire	0.95
abolire	SIMILAR_TO	abrogare	0.95
abominare	CAUSES	odio	0.90
abominare	CAUSES	rifiuto	0.95
abominare	IS_A	azione	0.95
abominare	OPPOSITE_OF	amare	0.95
abominare	OPPOSITE_OF	venerare	0.90
abominare	SIMILAR_TO	aborrire	0.95
abominare	SIMILAR_TO	detestare	0.95
abominio	CAUSES	disgusto	0.95
abominio	IS_A	male	0.95
abominio	IS_A	orrore	0.90
abominio	OPPOSITE_OF	bene	0.95
abominio	OPPOSITE_OF	meraviglia	0.90
abominio	SIMILAR_TO	atrocità	0.95
aborigeno	IS_A	persona	0.95
aborigeno	IS_A	popolo	0.90
aborigeno	OPPOSITE_OF	colono	0.90
aborigeno	OPPOSITE_OF	straniero	0.95
aborigeno	SIMILAR_TO	indigeno	0.95
aborigeno	SIMILAR_TO	nativo	0.95
abortire	CAUSES	fallimento	0.85
abortire	CAUSES	fine	0.95
abortire	IS_A	azione	0.95
abortire	IS_A	interruzione	0.95
abortire	OPPOSITE_OF	completare	0.90
abortire	OPPOSITE_OF	nascere	0.95
aborto	CAUSES	dolore	0.85
aborto	CAUSES	perdita	0.95
aborto	IS_A	evento	0.95
aborto	IS_A	interruzione	0.90
aborto	OPPOSITE_OF	nascita	0.95
aborto	OPPOSITE_OF	parto	0.95
abrogare	CAUSES	cancellazione	0.95
abrogare	IS_A	azione	0.95
abrogare	OPPOSITE_OF	approvare	0.90
abrogare	OPPOSITE_OF	promulgare	0.95
abrogare	SIMILAR_TO	abolire	0.95
abulia	CAUSES	apatia	0.90
abulia	CAUSES	inazione	0.95
abulia	IS_A	malattia	0.85
abulia	IS_A	stato	0.95
abulia	OPPOSITE_OF	determinazione	0.95
abulia	OPPOSITE_OF	energia	0.90
abulia	OPPOSITE_OF	volontà	0.95
abusare	CAUSES	danno	0.95
abusare	CAUSES	ingiustizia	0.90
abusare	IS_A	azione	0.95
abusare	IS_A	violenza	0.90
abusare	OPPOSITE_OF	rispettare	0.95
abusare	OPPOSITE_OF	tutelare	0.90
abusare	SIMILAR_TO	sfruttare	0.85
abuso	CAUSES	sofferenza	0.95
abuso	CAUSES	trauma	0.90
abuso	IS_A	azione	0.95
abuso	IS_A	reato	0.85
abuso	OPPOSITE_OF	giustizia	0.90
abuso	OPPOSITE_OF	rispetto	0.95
accademia	IS_A	istituzione	0.95
accademia	IS_A	scuola	0.90
accademia	SIMILAR_TO	università	0.95
accademia	USED_FOR	insegnare	0.95
accademia	USED_FOR	ricerca	0.90
accadere	CAUSES	cambiamento	0.90
accadere	CAUSES	conseguenza	0.95
accadere	IS_A	azione	0.85
accadere	IS_A	evento	0.95
accadere	OPPOSITE_OF	ristagnare	0.80
accadere	SIMILAR_TO	avvenire	0.95
accadere	SIMILAR_TO	succedere	0.95
accampamento	HAS	tenda	0.95
accampamento	IS_A	luogo	0.95
accampamento	IS_A	rifugio	0.90
accampamento	SIMILAR_TO	bivacco	0.90
accampamento	USED_FOR	dormire	0.95
accampamento	USED_FOR	proteggere	0.85
accampare	CAUSES	accampamento	0.95
accampare	CAUSES	sosta	0.90
accampare	IS_A	azione	0.95
accampare	OPPOSITE_OF	ripartire	0.95
accampare	OPPOSITE_OF	smontare	0.90
accampare	SIMILAR_TO	sostare	0.85
accanimento	CAUSES	danno	0.90
accanimento	CAUSES	violenza	0.85
accanimento	IS_A	comportamento	0.95
accanimento	IS_A	ostinazione	0.90
accanimento	OPPOSITE_OF	clemenza	0.95
accanimento	OPPOSITE_OF	pietà	0.90
accanimento	SIMILAR_TO	furia	0.85
accanto	IS_A	posizione	0.95
accanto	OPPOSITE_OF	distante	0.90
accanto	OPPOSITE_OF	lontano	0.95
accanto	SIMILAR_TO	adiacente	0.90
accanto	SIMILAR_TO	vicino	0.95
accantonare	CAUSES	pausa	0.85
accantonare	CAUSES	riserva	0.90
accantonare	IS_A	azione	0.95
accantonare	OPPOSITE_OF	affrontare	0.85
accantonare	OPPOSITE_OF	consumare	0.90
accantonare	OPPOSITE_OF	utilizzare	0.95
accantonare	SIMILAR_TO	mettere da parte	0.95
accantonare	SIMILAR_TO	riservare	0.90
accaparrare	CAUSES	monopolio	0.85
accaparrare	CAUSES	scarsità	0.90
accaparrare	IS_A	azione	0.95
accaparrare	OPPOSITE_OF	condividere	0.95
accaparrare	OPPOSITE_OF	distribuire	0.90
accaparrare	SIMILAR_TO	monopolizzare	0.90
accaparrare	SIMILAR_TO	prendere	0.80
accarezzare	CAUSES	conforto	0.85
accarezzare	CAUSES	piacere	0.90
accarezzare	IS_A	contatto	0.90
accarezzare	IS_A	gesto	0.95
accarezzare	OPPOSITE_OF	colpire	0.95
accarezzare	OPPOSITE_OF	graffiare	0.90
accarezzare	SIMILAR_TO	sfiorare	0.90
accattivare	CAUSES	attrazione	0.85
accattivare	CAUSES	simpatia	0.90
accattivare	IS_A	azione	0.95
accattivare	OPPOSITE_OF	disgustare	0.90
accattivare	OPPOSITE_OF	respingere	0.95
accattivare	SIMILAR_TO	affascinare	0.95
accattivare	SIMILAR_TO	attrarre	0.90
accavallare	CAUSES	confusione	0.80
accavallare	CAUSES	sovrapposizione	0.95
accavallare	IS_A	azione	0.95
accavallare	OPPOSITE_OF	allineare	0.85
accavallare	OPPOSITE_OF	separare	0.90
accavallare	SIMILAR_TO	incrociare	0.85
accavallare	SIMILAR_TO	sovrapporre	0.95
accecare	CAUSES	buio	0.95
accecare	CAUSES	cecità	1.00
accecare	IS_A	azione	0.95
accecare	OPPOSITE_OF	curare	0.80
accecare	OPPOSITE_OF	illuminare	0.90
accecare	SIMILAR_TO	abbagliare	0.85
accedere	CAUSES	conoscenza	0.80
accedere	CAUSES	ingresso	0.95
accedere	IS_A	movimento	0.95
accedere	OPPOSITE_OF	arretrare	0.85
accedere	OPPOSITE_OF	uscire	0.95
accedere	SIMILAR_TO	entrare	0.95
accelerare	CAUSES	fretta	0.85
accelerare	CAUSES	velocità	0.95
accelerare	IS_A	azione	0.95
accelerare	OPPOSITE_OF	frenare	0.95
accelerare	OPPOSITE_OF	rallentare	1.00
accelerare	SIMILAR_TO	affrettare	0.90
accelerare	SIMILAR_TO	sveltire	0.90
accendere	CAUSES	fuoco	0.95
accendere	CAUSES	luce	0.95
accendere	CAUSES	passione	0.85
accendere	IS_A	azione	0.95
accendere	OPPOSITE_OF	estinguere	0.90
accendere	OPPOSITE_OF	spegnere	1.00
accennare	CAUSES	intuizione	0.85
accennare	IS_A	azione	0.95
accennare	IS_A	comunicazione	0.90
accennare	OPPOSITE_OF	approfondire	0.95
accennare	OPPOSITE_OF	spiegare	0.90
accennare	SIMILAR_TO	suggerire	0.85
accenno	CAUSES	sospetto	0.75
accenno	IS_A	inizio	0.80
accenno	IS_A	segno	0.95
accenno	OPPOSITE_OF	certezza	0.85
accenno	SIMILAR_TO	indizio	0.95
accento	CAUSES	enfasi	0.95
accento	IS_A	segno	0.95
accento	IS_A	suono	0.90
accento	SIMILAR_TO	inflessione	0.95
accentrare	CAUSES	monopolio	0.90
accentrare	CAUSES	unione	0.85
accentrare	IS_A	azione	0.95
accentrare	OPPOSITE_OF	decentrare	0.95
accentrare	OPPOSITE_OF	disperdere	0.90
accentrare	SIMILAR_TO	concentrare	0.95
accentuare	CAUSES	enfasi	0.95
accentuare	CAUSES	evidenza	0.90
accentuare	IS_A	azione	0.95
accentuare	OPPOSITE_OF	attenuare	0.95
accentuare	OPPOSITE_OF	smorzare	0.90
accentuare	SIMILAR_TO	marcare	0.90
accentuare	SIMILAR_TO	sottolineare	0.95
accerchiare	CAUSES	isolamento	0.95
accerchiare	CAUSES	prigionia	0.90
accerchiare	IS_A	attacco	0.85
accerchiare	IS_A	azione	0.95
accerchiare	OPPOSITE_OF	aprire	0.85
accerchiare	OPPOSITE_OF	liberare	0.90
accerchiare	SIMILAR_TO	assediare	0.90
accerchiare	SIMILAR_TO	circondare	0.95
accertare	CAUSES	certezza	0.95
accertare	CAUSES	verità	0.90
accertare	IS_A	azione	0.95
accertare	OPPOSITE_OF	dubitare	0.90
accertare	OPPOSITE_OF	ignorare	0.85
accertare	SIMILAR_TO	controllare	0.90
accertare	SIMILAR_TO	verificare	0.95
accessibilità	CAUSES	inclusione	0.95
accessibilità	CAUSES	libertà	0.85
accessibilità	IS_A	diritto	0.85
accessibilità	IS_A	qualità	0.95
accessibilità	OPPOSITE_OF	barriera	0.95
accessibilità	OPPOSITE_OF	esclusione	0.90
accessibilità	SIMILAR_TO	apertura	0.85
accessorio	IS_A	dettaglio	0.90
accessorio	IS_A	oggetto	0.95
accessorio	OPPOSITE_OF	essenziale	0.95
accessorio	OPPOSITE_OF	fondamentale	0.90
accessorio	SIMILAR_TO	complemento	0.95
accettare	CAUSES	accettazione	0.95
accettare	CAUSES	accordo	0.90
accettare	CAUSES	pace	0.85
accettare	IS_A	azione	0.95
accettare	OPPOSITE_OF	negare	0.90
accettare	OPPOSITE_OF	respingere	0.95
accettare	OPPOSITE_OF	rifiutare	1.00
accettazione	CAUSES	inclusione	0.90
accettazione	CAUSES	serenità	0.95
accettazione	IS_A	stato	0.95
accettazione	IS_A	virtù	0.85
accettazione	OPPOSITE_OF	ribellione	0.80
accettazione	OPPOSITE_OF	rifiuto	1.00
accettazione	SIMILAR_TO	accoglienza	0.85
accettazione	SIMILAR_TO	consenso	0.90
accezione	IS_A	sfumatura	0.90
accezione	IS_A	significato	0.95
accezione	SIMILAR_TO	senso	0.95
acchiappare	CAUSES	cattura	0.95
acchiappare	CAUSES	possesso	0.80
acchiappare	IS_A	azione	0.95
acchiappare	OPPOSITE_OF	lasciare	0.90
acchiappare	OPPOSITE_OF	mancare	0.85
acchiappare	SIMILAR_TO	afferrare	0.95
acchiappare	SIMILAR_TO	prendere	0.90
acciaieria	IS_A	fabbrica	0.95
acciaieria	IS_A	luogo	0.90
acciaio	HAS	durezza	0.90
acciaio	HAS	resistenza	0.95
acciaio	IS_A	lega	0.95
acciaio	IS_A	metallo	0.95
accidentale	IS_A	qualità	0.95
accidentale	OPPOSITE_OF	essenziale	0.85
accidentale	OPPOSITE_OF	intenzionale	0.95
accidentale	OPPOSITE_OF	premeditato	0.90
accidentale	SIMILAR_TO	casuale	0.95
accidentale	SIMILAR_TO	fortuito	0.90
accidente	CAUSES	danno	0.70
accidente	CAUSES	sorpresa	0.85
accidente	IS_A	evento	0.95
accidente	IS_A	imprevisto	0.90
accidente	OPPOSITE_OF	necessità	0.85
accidente	OPPOSITE_OF	sostanza	0.90
accingere	CAUSES	inizio	0.90
accingere	IS_A	azione	0.95
accingere	OPPOSITE_OF	desistere	0.90
accingere	OPPOSITE_OF	rinunciare	0.85
accingere	SIMILAR_TO	iniziare	0.85
accingere	SIMILAR_TO	prepararsi	0.95
acciuffare	CAUSES	cattura	0.95
acciuffare	IS_A	azione	0.95
acciuffare	OPPOSITE_OF	fuggire	0.90
acciuffare	OPPOSITE_OF	lasciare	0.85
acciuffare	SIMILAR_TO	acchiappare	0.95
acciuffare	SIMILAR_TO	afferrare	0.90
acclamare	CAUSES	consenso	0.95
acclamare	CAUSES	gloria	0.90
acclamare	IS_A	azione	0.95
acclamare	IS_A	celebrazione	0.90
acclamare	OPPOSITE_OF	contestare	0.90
acclamare	OPPOSITE_OF	fischiare	0.95
acclamare	SIMILAR_TO	applaudire	0.85
acclamare	SIMILAR_TO	esaltare	0.90
accodare	CAUSES	fila	0.95
accodare	CAUSES	sequenza	0.90
accodare	IS_A	azione	0.95
accodare	OPPOSITE_OF	guidare	0.85
accodare	OPPOSITE_OF	precedere	0.95
accodare	SIMILAR_TO	aggiungere	0.80
accodare	SIMILAR_TO	seguire	0.95
accogliere	CAUSES	inclusione	0.95
accogliere	CAUSES	ospitalità	0.90
accogliere	IS_A	azione	0.95
accogliere	OPPOSITE_OF	cacciare	0.85
accogliere	OPPOSITE_OF	respingere	0.95
accogliere	OPPOSITE_OF	rifiutare	0.90
accogliere	SIMILAR_TO	ricevere	0.95
accoltellare	CAUSES	ferita	0.95
accoltellare	CAUSES	morte	0.85
accoltellare	IS_A	attacco	0.90
accoltellare	IS_A	azione	0.95
accoltellare	OPPOSITE_OF	curare	0.85
accoltellare	OPPOSITE_OF	proteggere	0.80
accoltellare	SIMILAR_TO	ferire	0.95
accomodare	CAUSES	accordo	0.85
accomodare	CAUSES	ordine	0.90
accomodare	IS_A	azione	0.95
accomodare	OPPOSITE_OF	guastare	0.90
accomodare	OPPOSITE_OF	rompere	0.85
accomodare	SIMILAR_TO	aggiustare	0.95
accomodare	SIMILAR_TO	sistemare	0.90
accompagnare	CAUSES	compagnia	0.95
accompagnare	CAUSES	sicurezza	0.85
accompagnare	IS_A	azione	0.95
accompagnare	OPPOSITE_OF	abbandonare	0.95
accompagnare	OPPOSITE_OF	lasciare	0.90
accompagnare	SIMILAR_TO	guidare	0.80
accompagnare	SIMILAR_TO	scortare	0.90
accomunare	CAUSES	somiglianza	0.90
accomunare	CAUSES	unione	0.95
accomunare	IS_A	azione	0.95
accomunare	OPPOSITE_OF	distinguere	0.85
accomunare	OPPOSITE_OF	dividere	0.95
accomunare	OPPOSITE_OF	separare	0.90
accomunare	SIMILAR_TO	unire	0.95
accondiscendere	CAUSES	accordo	0.85
accondiscendere	CAUSES	permesso	0.90
accondiscendere	IS_A	azione	0.95
accondiscendere	OPPOSITE_OF	opporsi	0.90
accondiscendere	OPPOSITE_OF	rifiutare	0.95
accondiscendere	SIMILAR_TO	acconsentire	0.95
accondiscendere	SIMILAR_TO	cedere	0.85
acconsentire	CAUSES	consenso	0.95
acconsentire	CAUSES	permesso	0.95
acconsentire	IS_A	azione	0.95
acconsentire	OPPOSITE_OF	negare	0.95
acconsentire	OPPOSITE_OF	vietare	0.90
acconsentire	SIMILAR_TO	accettare	0.85
acconsentire	SIMILAR_TO	approvare	0.90
accontentare	CAUSES	pace	0.85
accontentare	CAUSES	soddisfazione	0.95
accontentare	IS_A	azione	0.95
accontentare	OPPOSITE_OF	deludere	0.95
accontentare	OPPOSITE_OF	scontentare	0.95
accontentare	SIMILAR_TO	appagare	0.90
accontentare	SIMILAR_TO	soddisfare	0.95
acconto	CAUSES	garanzia	0.90
acconto	IS_A	pagamento	0.95
acconto	OPPOSITE_OF	saldo	0.95
acconto	SIMILAR_TO	anticipo	0.95
accoppiare	CAUSES	coppia	0.95
accoppiare	CAUSES	unione	0.90
accoppiare	IS_A	azione	0.95
accoppiare	OPPOSITE_OF	dividere	0.90
accoppiare	OPPOSITE_OF	separare	0.95
accoppiare	SIMILAR_TO	abbinare	0.95
accoppiare	SIMILAR_TO	unire	0.90
accorciare	CAUSES	riduzione	0.95
accorciare	IS_A	azione	0.95
accorciare	OPPOSITE_OF	allungare	0.95
accorciare	OPPOSITE_OF	estendere	0.90
accorciare	SIMILAR_TO	abbreviare	0.95
accorciare	SIMILAR_TO	ridurre	0.85
accorciatoia	CAUSES	risparmio	0.95
accorciatoia	IS_A	scelta	0.85
accorciatoia	IS_A	strada	0.95
accorciatoia	SIMILAR_TO	scorciatoia	0.95
accordare	CAUSES	accordo	0.95
accordare	CAUSES	armonia	0.90
accordare	IS_A	azione	0.95
accordare	OPPOSITE_OF	negare	0.90
accordare	OPPOSITE_OF	scordare	0.95
accordare	SIMILAR_TO	concedere	0.85
accordare	SIMILAR_TO	sintonizzare	0.90
accordo	CAUSES	armonia	0.95
accordo	CAUSES	pace	0.90
accordo	IS_A	patto	0.95
accordo	OPPOSITE_OF	conflitto	0.95
accordo	OPPOSITE_OF	disaccordo	0.95
accordo	SIMILAR_TO	intesa	0.90
accorgere	CAUSES	conoscenza	0.85
accorgere	CAUSES	consapevolezza	0.95
accorgere	IS_A	azione	0.95
accorgere	OPPOSITE_OF	ignorare	0.95
accorgere	OPPOSITE_OF	sfuggire	0.85
accorgere	SIMILAR_TO	capire	0.80
accorgere	SIMILAR_TO	notare	0.95
accorpare	CAUSES	insieme	0.90
accorpare	CAUSES	unione	0.95
accorpare	IS_A	azione	0.95
accorpare	OPPOSITE_OF	dividere	0.95
accorpare	OPPOSITE_OF	separare	0.95
accorpare	SIMILAR_TO	fondere	0.90
accorpare	SIMILAR_TO	unire	0.95
accorrere	CAUSES	aiuto	0.85
accorrere	CAUSES	presenza	0.90
accorrere	IS_A	azione	0.95
accorrere	OPPOSITE_OF	fuggire	0.90
accorrere	OPPOSITE_OF	ignorare	0.85
accorrere	SIMILAR_TO	correre	0.95
accorto	CAUSES	sicurezza	0.85
accorto	IS_A	qualità	0.95
