soggetto	relazione	oggetto	confidence
futuro	HAS	incertezza	0.95
cambiamento	CAUSES	adattamento	0.90
cambiamento	CAUSES	crescita	0.90
cambiamento	REQUIRES	energia	0.90
cambiamento	REQUIRES	volontà	0.95
crescita	HAS	sviluppo	0.95
crescita	HAS	espansione	0.90
crescita	REQUIRES	tempo	0.90
crescita	REQUIRES	nutrimento	0.95
fine	HAS	completezza	0.90
fine	HAS	perdita	0.85
inizio	HAS	possibilità	0.95
inizio	HAS	energia	0.90
inizio	HAS	apertura	0.90
durata	HAS	persistenza	0.95
durata	HAS	stabilità	0.90
corpo	HAS	sensazione	0.95
corpo	HAS	movimento	0.90
corpo	HAS	confine	0.95
dolore	HAS	intensità	0.95
dolore	HAS	localizzazione	0.90
dolore	HAS	segnale	0.90
dolore	CAUSES	attenzione	0.95
dolore	CAUSES	fermezza	0.85
dolore	REQUIRES	cura	0.90
dolore	REQUIRES	comprensione	0.90
piacere	HAS	calore	0.90
piacere	HAS	leggerezza	0.85
piacere	HAS	apertura	0.90
piacere	CAUSES	desiderio	0.95
piacere	CAUSES	ripetizione	0.90
stanchezza	HAS	peso	0.90
stanchezza	HAS	lentezza	0.90
stanchezza	CAUSES	riposo	0.95
stanchezza	CAUSES	rallentamento	0.90
energia	HAS	vitalità	0.95
energia	HAS	movimento	0.90
energia	HAS	forza	0.90
energia	REQUIRES	nutrimento	0.90
energia	REQUIRES	riposo	0.95
silenzio	HAS	assenza	0.90
silenzio	HAS	presenza	0.90
silenzio	HAS	profondità	0.90
silenzio	CAUSES	ascolto	0.95
silenzio	CAUSES	riflessione	0.90
giustizia	HAS	equilibrio	0.95
giustizia	HAS	diritto	0.90
giustizia	HAS	riparazione	0.90
giustizia	REQUIRES	criterio	0.90
giustizia	REQUIRES	imparzialità	0.95
libertà	HAS	scelta	0.95
libertà	HAS	autonomia	0.95
libertà	HAS	apertura	0.90
libertà	REQUIRES	responsabilità	0.95
libertà	REQUIRES	confine	0.90
verità	HAS	corrispondenza	0.90
verità	HAS	coerenza	0.95
verità	REQUIRES	onestà	0.95
verità	REQUIRES	evidenza	0.90
bellezza	HAS	armonia	0.95
bellezza	HAS	proporzione	0.90
bellezza	HAS	sorpresa	0.85
cura	HAS	attenzione	0.95
cura	HAS	dedizione	0.90
cura	HAS	presenza	0.95
cura	REQUIRES	tempo	0.90
cura	REQUIRES	energie	0.90
cura	REQUIRES	amore	0.95
responsabilità	HAS	peso	0.90
responsabilità	HAS	agency	0.95
responsabilità	HAS	conseguenza	0.95
parola	HAS	significato	0.95
parola	HAS	suono	0.85
parola	HAS	storia	0.90
parola	CAUSES	comprensione	0.90
parola	CAUSES	emozione	0.95
linguaggio	HAS	struttura	0.90
linguaggio	HAS	simbolo	0.95
linguaggio	HAS	significato	0.95
linguaggio	DOES	connettere	0.90
linguaggio	DOES	esprimere	0.95
linguaggio	DOES	creare	0.90
significato	HAS	contesto	0.95
significato	HAS	interpretazione	0.90
significato	REQUIRES	uso	0.90
significato	REQUIRES	relazione	0.95
simbolo	HAS	riferimento	0.95
simbolo	HAS	convenzione	0.90
simbolo	CAUSES	evocazione	0.90
simbolo	CAUSES	comprensione	0.90
conoscenza	HAS	comprensione	0.95
conoscenza	HAS	organizzazione	0.90
conoscenza	REQUIRES	esperienza	0.95
conoscenza	REQUIRES	riflessione	0.90
domanda	HAS	incertezza	0.90
domanda	HAS	apertura	0.95
domanda	HAS	curiosità	0.95
domanda	CAUSES	ricerca	0.95
domanda	CAUSES	dialogo	0.90
risposta	HAS	informazione	0.95
risposta	HAS	direzione	0.90
risposta	REQUIRES	comprensione	0.90
risposta	REQUIRES	onestà	0.95
espressione	REQUIRES	linguaggio	0.95
sensazione	CAUSES	emozione	0.95
emozione	HAS	intensità	0.90
pensiero	CAUSES	comprensione	0.95
comprensione	HAS	significato	0.95
significato	HAS	valore	0.90
