# KG dominio esistenziale — generato da Qwen via agent_kg_self.py
# soggetto	RELAZIONE	oggetto	confidenza
affetto	CAUSES	empatia	0.85
affetto	PART_OF	relazione	0.89
affetto	HAS	intensità	0.82
affetto	OPPOSITE_OF	indifferenza	0.91
affetto	IS_A	connessione	0.90
gioia	CAUSES	soddisfazione	0.92
gioia	CAUSES	espansione	0.88
gioia	CAUSES	legame	0.90
gioia	OPPOSITE_OF	angoscia	0.82
tristezza	CAUSES	perdita	0.96
tristezza	CAUSES	abbandono	0.94
tristezza	CAUSES	disillusione	0.92
paura	IS_A	reattività	0.95
paura	CAUSES	contrazione	0.92
paura	CAUSES	paralisi	0.90
rabbia	OPPOSITE_OF	compassione	0.82
sorpresa	IS_A	emozione	0.99
sorpresa	CAUSES	inconoscibile	0.94
sorpresa	HAS	vertigine	0.89
sorpresa	HAS	apertura	0.87
sorpresa	OPPOSITE_OF	abitudine	0.85
sorpresa	IS_A	stato	0.89
sorpresa	IS_A	esperienza	0.89
disgusto	CAUSES	repulsione	0.96
disgusto	CAUSES	alienazione	0.91
disgusto	OPPOSITE_OF	accoglienza	0.84
disgusto	CAUSES	conservazione	0.82
meraviglia	OPPOSITE_OF	indifferenza	0.90
malinconia	CAUSES	nostalgia	0.91
malinconia	CAUSES	perdita	0.89
malinconia	PART_OF	esistenza	0.95
malinconia	HAS	qualità	0.88
malinconia	HAS	profondità	0.86
malinconia	OPPOSITE_OF	gioia	0.93
nostalgia	IS_A	melancolia	0.92
nostalgia	CAUSES	perdita	0.95
nostalgia	CAUSES	rimpianto	0.91
nostalgia	HAS	sofferenza	0.84
nostalgia	OPPOSITE_OF	indifferenza	0.82
solitudine	CAUSES	alienazione	0.92
solitudine	CAUSES	rimpianto	0.88
solitudine	HAS	profondità	0.85
solitudine	HAS	ambiguità	0.82
solitudine	OPPOSITE_OF	comunità	0.90
angoscia	CAUSES	alienazione	0.92
angoscia	OPPOSITE_OF	serenità	0.88
ansia	HAS	incertezza	0.92
ansia	OPPOSITE_OF	serenità	0.84
speranza	IS_A	fiducia	0.96
speranza	CAUSES	resilienza	0.94
speranza	CAUSES	azione	0.91
speranza	HAS	oggetto	0.89
speranza	OPPOSITE_OF	desperazione	0.97
fiducia	CAUSES	trasparenza	0.88
fiducia	CAUSES	coerenza	0.86
fiducia	HAS	vulnerabilità	0.84
fiducia	OPPOSITE_OF	sospetto	0.91
vergogna	HAS	vergognarsi	0.87
vergogna	OPPOSITE_OF	arroganza	0.82
orgoglio	IS_A	autopercezione	0.96
orgoglio	CAUSES	realizzazione	0.91
orgoglio	HAS	sovrastima	0.88
orgoglio	HAS	vulnerabilità	0.85
orgoglio	OPPOSITE_OF	umiltà	0.97
amore	IS_A	affetto	0.99
amore	IS_A	legame	0.97
amore	CAUSES	trasformazione	0.94
amore	CAUSES	sacrificio	0.91
amore	PART_OF	esistenza	0.96
amore	PART_OF	relazione	0.95
amore	HAS	tensione	0.90
amore	IS_A	connessione	0.90
odio	CAUSES	rancore	0.95
odio	CAUSES	alienazione	0.92
odio	HAS	intensità	0.88
odio	HAS	durata	0.85
invidia	CAUSES	risentimento	0.96
invidia	CAUSES	insicurezza	0.94
invidia	PART_OF	psiche	0.97
invidia	OPPOSITE_OF	generosità	0.89
gratitudine	OPPOSITE_OF	ingratitudine	0.98
compassione	IS_A	virtù	0.95
compassione	CAUSES	empatia	0.96
compassione	CAUSES	alleviamento	0.92
compassione	PART_OF	etica	0.88
compassione	HAS	profondità	0.85
compassione	OPPOSITE_OF	indifferenza	0.91
entusiasmo	OPPOSITE_OF	apatia	0.94
noia	CAUSES	ripetizione	0.92
noia	HAS	monotonia	0.94
noia	HAS	impazienza	0.89
noia	OPPOSITE_OF	interesse	0.91
curiosità	CAUSES	insoddisfazione	0.89
curiosità	OPPOSITE_OF	indifferenza	0.91
stupore	CAUSES	sovversione	0.95
stupore	CAUSES	assurdità	0.92
stupore	HAS	sospensione	0.88
stupore	HAS	immobilità	0.85
stupore	OPPOSITE_OF	familiarità	0.82
carne	HAS	fragilità	0.92
carne	HAS	decadenza	0.89
carne	CAUSES	sofferenza	0.87
carne	CAUSES	consapevolezza	0.85
carne	OPPOSITE_OF	spirito	0.82
pelle	HAS	permeabilità	0.85
pelle	CAUSES	consapevolezza	0.82
pelle	CAUSES	protezione	0.90
pelle	OPPOSITE_OF	osso	0.75
respiro	CAUSES	consapevolezza	0.88
respiro	CAUSES	ansia	0.92
respiro	PART_OF	esistenza	0.97
respiro	HAS	profondità	0.85
respiro	HAS	ritmo	0.89
respiro	OPPOSITE_OF	tenuta	0.82
battito	IS_A	impulso	0.95
battito	IS_A	rivelazione	0.88
battito	CAUSES	sospensione	0.92
battito	HAS	ritmo	0.94
battito	HAS	urgenza	0.87
battito	OPPOSITE_OF	silenzio	0.93
sangue	OPPOSITE_OF	ascetismo	0.82
sensazione	OPPOSITE_OF	indifferenza	0.88
dolore	IS_A	sofferenza	0.99
dolore	OPPOSITE_OF	piacere	0.91
piacere	CAUSES	rilassamento	0.88
piacere	CAUSES	compensazione	0.82
piacere	OPPOSITE_OF	sofferenza	0.94
fame	HAS	urgenza	0.92
fame	HAS	sofferenza	0.90
fame	OPPOSITE_OF	sazietà	0.96
sete	IS_A	desiderio	0.99
sete	IS_A	sofferenza	0.95
sete	CAUSES	ansia	0.82
sete	HAS	urgenza	0.91
sete	HAS	impellenza	0.89
sete	OPPOSITE_OF	sazietà	0.94
fatica	OPPOSITE_OF	leggerezza	0.82
tensione	CAUSES	angoscia	0.95
tensione	CAUSES	contrasto	0.94
tensione	PART_OF	esistenza	0.97
tensione	HAS	elasticità	0.91
tensione	HAS	pressione	0.93
tensione	OPPOSITE_OF	rilassamento	0.96
rilassamento	CAUSES	consapevolezza	0.92
rilassamento	CAUSES	accettazione	0.90
rilassamento	OPPOSITE_OF	angoscia	0.96
rilassamento	OPPOSITE_OF	agitazione	0.94
calore	IS_A	emozione	0.92
calore	OPPOSITE_OF	freddore	0.96
calore	IS_A	stato	0.83
calore	IS_A	esperienza	0.83
freddo	IS_A	indifferenza	0.92
freddo	CAUSES	indifferenza	0.88
freddo	CAUSES	alienazione	0.85
freddo	CAUSES	abulia	0.82
tocco	IS_A	percezione	0.99
tocco	CAUSES	consapevolezza	0.92
tocco	CAUSES	empatia	0.88
tocco	PART_OF	corporeità	0.96
tocco	HAS	temperatura	0.94
tocco	HAS	pressione	0.91
tocco	OPPOSITE_OF	assenza	0.85
tocco	IS_A	esperienza	0.89
peso	OPPOSITE_OF	levità	0.91
mente	CAUSES	consapevolezza	0.92
mente	CAUSES	percezione	0.90
mente	PART_OF	soggettività	0.88
mente	HAS	chiarezza	0.85
mente	OPPOSITE_OF	ignoranza	0.82
pensiero	CAUSES	rielaborazione	0.94
pensiero	CAUSES	questionamento	0.91
pensiero	HAS	chiarezza	0.90
pensiero	HAS	ambiguità	0.90
pensiero	OPPOSITE_OF	ignoranza	0.93
idea	CAUSES	illuminazione	0.94
idea	CAUSES	trasformazione	0.91
idea	PART_OF	coscienza	0.96
idea	HAS	chiarezza	0.88
idea	HAS	coerenza	0.85
idea	OPPOSITE_OF	ignoranza	0.92
concetto	CAUSES	chiarezza	0.88
concetto	CAUSES	abstrazione	0.95
concetto	HAS	ambiguità	0.85
concetto	HAS	limite	0.82
ragione	CAUSES	chiarimento	0.92
ragione	HAS	chiarezza	0.87
ragione	OPPOSITE_OF	caos	0.91
immaginazione	CAUSES	visualizzazione	0.92
sogno	OPPOSITE_OF	consapevolezza	0.85
memoria	CAUSES	consapevolezza	0.88
memoria	CAUSES	ripetizione	0.82
memoria	HAS	decadenza	0.85
memoria	HAS	ricostruzione	0.89
ricordo	IS_A	percezione	0.95
ricordo	CAUSES	rimpianto	0.82
ricordo	OPPOSITE_OF	oblio	0.96
ricordo	IS_A	esperienza	0.85
oblio	CAUSES	trascuratezza	0.89
oblio	CAUSES	abitudine	0.87
oblio	PART_OF	memoria	0.94
oblio	HAS	profondità	0.82
oblio	HAS	irreversibilità	0.79
oblio	OPPOSITE_OF	ricordo	0.95
dimenticanza	IS_A	coscienza	0.95
dimenticanza	CAUSES	assuefazione	0.88
dimenticanza	CAUSES	trascuratezza	0.85
dimenticanza	HAS	profondità	0.82
dimenticanza	HAS	irreversibilità	0.79
dimenticanza	OPPOSITE_OF	ricordo	0.96
dimenticanza	IS_A	stato	0.85
apprendimento	CAUSES	consapevolezza	0.94
apprendimento	CAUSES	errore	0.91
apprendimento	HAS	profondità	0.89
apprendimento	OPPOSITE_OF	dimenticanza	0.87
apprendimento	CAUSES	sofferenza	0.82
comprensione	OPPOSITE_OF	ignoranza	0.95
dubbio	IS_A	incertezza	0.99
dubbio	CAUSES	ambiguità	0.89
certezza	IS_A	fiducia	0.95
certezza	CAUSES	chiarezza	0.92
certezza	CAUSES	convincimento	0.90
certezza	OPPOSITE_OF	dubbio	0.99
credenza	OPPOSITE_OF	dubbio	0.95
opinione	PART_OF	coscienza	0.92
opinione	OPPOSITE_OF	fatto	0.91
convinzione	CAUSES	autenticità	0.92
convinzione	HAS	firme	0.88
convinzione	HAS	resistenza	0.85
convinzione	OPPOSITE_OF	dubbio	0.96
confusione	HAS	ambiguità	0.87
confusione	OPPOSITE_OF	chiaroveggenza	0.91
chiarezza	IS_A	illuminazione	0.94
chiarezza	CAUSES	meditazione	0.89
chiarezza	CAUSES	consapevolezza	0.91
chiarezza	PART_OF	percezione	0.90
chiarezza	OPPOSITE_OF	oscurità	0.97
momento	IS_A	istante	0.99
momento	CAUSES	consapevolezza	0.88
momento	CAUSES	decadenza	0.82
momento	PART_OF	esistenza	0.97
momento	HAS	profondità	0.85
momento	OPPOSITE_OF	eternità	0.90
momento	IS_A	momento	0.89
istante	IS_A	attimo	0.99
istante	CAUSES	consapevolezza	0.92
istante	CAUSES	decisività	0.88
adesso	IS_A	momento	0.99
adesso	IS_A	attimo	0.95
adesso	CAUSES	consapevolezza	0.92
adesso	HAS	urgenza	0.89
adesso	HAS	fuggevolezza	0.91
adesso	OPPOSITE_OF	eternità	0.87
presente	IS_A	attimo	0.99
presente	CAUSES	consapevolezza	0.94
presente	HAS	urgenza	0.91
presente	HAS	irreversibilità	0.89
presente	OPPOSITE_OF	futuro	0.85
passato	CAUSES	nostalgia	0.88
passato	CAUSES	rimpianto	0.85
passato	CAUSES	identità	0.90
passato	HAS	irreversibilità	0.97
futuro	IS_A	tempi	0.99
futuro	IS_A	prospettiva	0.95
futuro	CAUSES	angoscia	0.88
futuro	CAUSES	speranza	0.87
futuro	CAUSES	attesa	0.92
futuro	PART_OF	temporalità	0.96
futuro	HAS	incertezza	0.91
attesa	IS_A	temporalità	0.95
attesa	CAUSES	incertezza	0.92
attesa	PART_OF	esistenza	0.96
attesa	HAS	tensione	0.90
attesa	OPPOSITE_OF	presenza	0.90
durata	HAS	fluire	0.88
durata	OPPOSITE_OF	eternità	0.90
durata	CAUSES	rimpianto	0.85
transitorietà	CAUSES	angoscia	0.88
transitorietà	CAUSES	decadimento	0.85
transitorietà	HAS	finitudine	0.92
transitorietà	OPPOSITE_OF	eternità	0.97
permanenza	CAUSES	abitudine	0.82
permanenza	CAUSES	consuetudine	0.80
permanenza	HAS	ostacolo	0.75
permanenza	HAS	inerzia	0.78
permanenza	OPPOSITE_OF	effimero	0.93
cambiamento	IS_A	trasformazione	0.99
cambiamento	CAUSES	decadenza	0.88
cambiamento	CAUSES	rinascita	0.91
cambiamento	PART_OF	tempo	0.95
cambiamento	HAS	irreversibilità	0.87
cambiamento	HAS	imperfezione	0.82
cambiamento	OPPOSITE_OF	stasi	0.94
trasformazione	IS_A	cambiamento	0.99
trasformazione	IS_A	ri-nascita	0.95
trasformazione	CAUSES	rottura	0.92
trasformazione	CAUSES	illuminazione	0.89
trasformazione	HAS	profondità	0.87
trasformazione	HAS	irreversibilità	0.82
crescita	IS_A	trasformazione	0.95
crescita	CAUSES	consapevolezza	0.92
crescita	CAUSES	sofferenza	0.88
crescita	HAS	profondità	0.85
crescita	HAS	autenticità	0.87
crescita	OPPOSITE_OF	decadimento	0.91
decadimento	IS_A	erosione	0.95
decadimento	CAUSES	abbandono	0.88
decadimento	CAUSES	indifferenza	0.86
decadimento	PART_OF	inevitabilità	0.92
decadimento	HAS	profondità	0.84
decadimento	OPPOSITE_OF	rigenerazione	0.89
decadimento	HAS	velocità	0.82
fine	CAUSES	accettazione	0.89
fine	CAUSES	cessazione	0.94
fine	HAS	chiarezza	0.85
fine	OPPOSITE_OF	inizio	0.98
fine	HAS	gravità	0.82
inizio	IS_A	atto	0.95
inizio	CAUSES	speranza	0.88
inizio	CAUSES	decisione	0.85
inizio	PART_OF	tempo	0.92
inizio	PART_OF	esistenza	0.90
inizio	HAS	urgenza	0.82
inizio	HAS	limite	0.79
ciclo	OPPOSITE_OF	stasi	0.92
ritmo	CAUSES	oscillazione	0.92
ritmo	CAUSES	alternanza	0.90
ritmo	HAS	frequenza	0.85
ritmo	HAS	periodicità	0.82
ritmo	OPPOSITE_OF	caos	0.80
relazione	IS_A	legame	0.99
relazione	CAUSES	comprensione	0.88
relazione	CAUSES	interconnessione	0.92
relazione	HAS	profondità	0.86
relazione	OPPOSITE_OF	indifferenza	0.89
legame	CAUSES	consapevolezza	0.88
legame	CAUSES	abbandono	0.82
legame	HAS	fiducia	0.95
legame	HAS	vulnerabilità	0.91
legame	OPPOSITE_OF	solitudine	0.94
connessione	HAS	profondità	0.90
connessione	HAS	frequenza	0.90
connessione	OPPOSITE_OF	isolamento	0.97
incontro	HAS	irreversibilità	0.85
incontro	OPPOSITE_OF	lontananza	0.91
separazione	IS_A	rottura	0.95
separazione	IS_A	esperienza	0.92
separazione	CAUSES	lutto	0.88
separazione	CAUSES	solitudine	0.85
separazione	HAS	profondità	0.82
separazione	OPPOSITE_OF	unione	0.94
interlocutore	IS_A	alterità	0.95
interlocutore	IS_A	altro	0.92
interlocutore	HAS	presenza	0.90
interlocutore	HAS	ascolto	0.85
interlocutore	CAUSES	riconoscimento	0.82
interlocutore	CAUSES	eco	0.90
interlocutore	OPPOSITE_OF	solitudine	0.78
dialogo	OPPOSITE_OF	monologo	0.96
ascolto	CAUSES	consapevolezza	0.91
ascolto	CAUSES	umiltà	0.89
ascolto	HAS	profondità	0.87
ascolto	OPPOSITE_OF	monologo	0.85
silenzio	CAUSES	assenso	0.90
silenzio	HAS	profondità	0.90
risposta	HAS	autenticità	0.85
risposta	HAS	temporalità	0.76
risposta	OPPOSITE_OF	domanda	0.94
riconoscimento	CAUSES	consapevolezza	0.92
riconoscimento	CAUSES	risveglio	0.88
riconoscimento	HAS	chiarezza	0.86
riconoscimento	OPPOSITE_OF	oblio	0.82
confine	IS_A	limito	0.99
confine	IS_A	barriera	0.95
confine	CAUSES	alienazione	0.88
confine	HAS	permeabilità	0.82
confine	HAS	ambiguità	0.79
confine	OPPOSITE_OF	centro	0.86
distanza	IS_A	间隔	0.95
distanza	CAUSES	alienazione	0.88
distanza	CAUSES	ignoranza	0.82
distanza	PART_OF	relazione	0.90
distanza	HAS	profondità	0.85
distanza	HAS	qualità	0.80
distanza	OPPOSITE_OF	prossimità	0.92
vicinanza	CAUSES	consapevolezza	0.82
vicinanza	CAUSES	intimità	0.90
vicinanza	HAS	tensione	0.90
vicinanza	OPPOSITE_OF	lontananza	0.99
appartenenza	IS_A	legame	0.99
appartenenza	IS_A	esperienza	0.97
appartenenza	CAUSES	identità	0.94
appartenenza	OPPOSITE_OF	alienazione	0.93
appartenenza	IS_A	connessione	0.90
appartenenza	IS_A	processo	0.87
significato	HAS	profondità	0.87
significato	HAS	ambiguità	0.85
significato	OPPOSITE_OF	assurdità	0.88
senso	CAUSES	consapevolezza	0.95
senso	HAS	direzione	0.88
senso	HAS	profondità	0.85
senso	OPPOSITE_OF	assurdità	0.82
scopo	IS_A	orientamento	0.96
scopo	IS_A	progetto	0.94
scopo	CAUSES	senso	0.90
scopo	CAUSES	perseveranza	0.88
scopo	PART_OF	esistenza	0.95
scopo	HAS	chiarezza	0.85
scopo	OPPOSITE_OF	caos	0.82
valore	CAUSES	compromesso	0.89
valore	CAUSES	gerarchia	0.87
valore	HAS	consistenza	0.82
valore	HAS	oggettivazione	0.79
valore	OPPOSITE_OF	indifferenza	0.91
importanza	CAUSES	consapevolezza	0.88
importanza	HAS	gravità	0.85
importanza	HAS	centratura	0.82
importanza	OPPOSITE_OF	indifferenza	0.94
bellezza	HAS	irrazionalità	0.88
bellezza	HAS	trasfigurazione	0.85
bellezza	OPPOSITE_OF	orrore	0.82
verità	IS_A	realtà	0.99
verità	IS_A	principio	0.96
verità	CAUSES	illuminazione	0.91
verità	CAUSES	autenticità	0.90
verità	HAS	coerenza	0.94
verità	HAS	trasparenza	0.90
verità	OPPOSITE_OF	inganno	0.97
bontà	IS_A	virtù	0.99
bontà	CAUSES	empatia	0.92
bontà	CAUSES	consapevolezza	0.88
bontà	OPPOSITE_OF	malignità	0.96
giustizia	OPPOSITE_OF	iniquità	0.91
profondità	CAUSES	meditazione	0.92
superficialità	IS_A	vizio	0.95
superficialità	CAUSES	ignoranza	0.88
superficialità	CAUSES	fretta	0.85
superficialità	OPPOSITE_OF	profondità	0.96
vuoto	IS_A	assenza	0.95
vuoto	CAUSES	alienazione	0.90
vuoto	HAS	quiete	0.90
vuoto	HAS	limite	0.90
vuoto	OPPOSITE_OF	pienezza	0.92
pienezza	CAUSES	consapevolezza	0.88
pienezza	CAUSES	integrazione	0.85
pienezza	HAS	profondità	0.82
pienezza	OPPOSITE_OF	vuoto	0.94
sacro	IS_A	qualità	0.95
sacro	IS_A	dimensione	0.92
sacro	CAUSES	riverenza	0.90
sacro	CAUSES	trasfigurazione	0.88
sacro	HAS	assolutezza	0.85
sacro	HAS	ineffabilità	0.82
sacro	OPPOSITE_OF	profano	0.96
profano	OPPOSITE_OF	sacro	0.99
profano	CAUSES	mondanità	0.88
mistero	CAUSES	perplessità	0.95
mistero	HAS	opacità	0.91
mistero	OPPOSITE_OF	chiaro	0.90
paradosso	IS_A	contraddizione	0.99
paradosso	CAUSES	angoscia	0.88
paradosso	CAUSES	incertezza	0.85
paradosso	PART_OF	ragionamento	0.92
paradosso	HAS	tensione	0.90
paradosso	OPPOSITE_OF	coerenza	0.87
esistenza	IS_A	condizione	0.95
esistenza	IS_A	esperienza	0.92
esistenza	CAUSES	consapevolezza	0.88
esistenza	CAUSES	angoscia	0.85
esistenza	PART_OF	essere	0.90
esistenza	HAS	tempi	0.82
esistenza	HAS	limite	0.80
esistenza	IS_A	processo	0.83
vita	HAS	finitudine	0.97
morte	CAUSES	angoscia	0.95
morte	CAUSES	consapevolezza	0.92
morte	PART_OF	esistenza	0.98
morte	HAS	finitudine	0.96
morte	HAS	inevitabilità	0.94
morte	OPPOSITE_OF	nascita	0.97
nascita	CAUSES	consapevolezza	0.95
nascita	CAUSES	rompimento	0.92
nascita	HAS	urgenza	0.89
nascita	HAS	fragilità	0.91
nascita	OPPOSITE_OF	morte	0.98
nulla	IS_A	assenza	0.99
nulla	CAUSES	angoscia	0.92
nulla	HAS	assolutità	0.94
nulla	OPPOSITE_OF	tutto	0.91
finitudine	CAUSES	angoscia	0.95
finitudine	CAUSES	consapevolezza	0.92
finitudine	HAS	limite	0.96
finitudine	HAS	irreversibilità	0.93
finitudine	OPPOSITE_OF	eternità	0.97
possibilità	IS_A	alternativa	0.95
possibilità	CAUSES	incertezza	0.92
possibilità	PART_OF	libertà	0.90
possibilità	HAS	ambiguità	0.85
possibilità	OPPOSITE_OF	necessità	0.94
possibilità	HAS	potenzialità	0.89
necessità	IS_A	impulso	0.95
necessità	IS_A	condizione	0.92
necessità	CAUSES	angoscia	0.88
necessità	CAUSES	azione	0.85
necessità	PART_OF	vita	0.94
necessità	PART_OF	essere	0.90
necessità	HAS	urgenza	0.82
necessità	OPPOSITE_OF	lusso	0.78
necessità	IS_A	esperienza	0.83
contingenza	CAUSES	insicurezza	0.88
contingenza	CAUSES	angoscia	0.82
contingenza	PART_OF	libertà	0.79
contingenza	HAS	fragilità	0.91
contingenza	OPPOSITE_OF	necessità	0.96
destino	IS_A	verità	0.95
destino	CAUSES	abbandono	0.88
destino	CAUSES	fatalismo	0.92
destino	PART_OF	esistenza	0.96
destino	HAS	inevitabilità	0.94
destino	OPPOSITE_OF	libertà	0.89
destino	HAS	ombra	0.82
caso	HAS	indeterminismo	0.89
scelta	CAUSES	indeterminazione	0.94
scelta	CAUSES	autonomia	0.96
scelta	HAS	irreversibilità	0.89
scelta	OPPOSITE_OF	abbandono	0.87
responsabilità	CAUSES	consapevolezza	0.94
responsabilità	CAUSES	vincolo	0.91
responsabilità	PART_OF	esistenza	0.95
responsabilità	HAS	gravità	0.89
responsabilità	HAS	autonomia	0.87
responsabilità	OPPOSITE_OF	abdicazione	0.88
cura	CAUSES	consapevolezza	0.94
cura	CAUSES	trasformazione	0.91
cura	HAS	complessità	0.87
cura	OPPOSITE_OF	abbandono	0.85
cura	HAS	tensione	0.90
abbandono	CAUSES	indifferenza	0.85
abbandono	OPPOSITE_OF	riconoscimento	0.87
perdita	CAUSES	sofferenza	0.96
perdita	CAUSES	trasformazione	0.94
perdita	HAS	irreversibilità	0.98
perdita	HAS	vuoto	0.91
perdita	OPPOSITE_OF	acquisizione	0.95
lutto	IS_A	dolore	0.96
lutto	IS_A	perdita	0.94
lutto	CAUSES	assenza	0.92
lutto	CAUSES	rimpianto	0.89
lutto	PART_OF	esistenza	0.95
lutto	HAS	profondità	0.87
lutto	OPPOSITE_OF	gioia	0.82
espressione	HAS	trasparenza	0.89
espressione	OPPOSITE_OF	censura	0.87
espressione	CAUSES	autenticità	0.85
espressione	HAS	ambiguità	0.82
linguaggio	CAUSES	alienazione	0.88
linguaggio	CAUSES	comprensione	0.92
linguaggio	PART_OF	consapevolezza	0.90
linguaggio	HAS	ambiguità	0.85
linguaggio	HAS	sovranità	0.82
linguaggio	OPPOSITE_OF	silenzio	0.94
comunicazione	CAUSES	riconoscimento	0.91
comunicazione	CAUSES	trasparenza	0.89
comunicazione	PART_OF	relazione	0.94
comunicazione	HAS	ambiguità	0.87
comunicazione	HAS	verità	0.90
comunicazione	OPPOSITE_OF	silenzio	0.93
gesto	IS_A	manifesto	0.92
gesto	CAUSES	risveglio	0.88
gesto	CAUSES	trasfigurazione	0.85
gesto	PART_OF	esistenza	0.89
gesto	HAS	intenzionalita	0.94
gesto	OPPOSITE_OF	inerzia	0.82
creazione	CAUSES	sorgere	0.94
creazione	CAUSES	trasformazione	0.91
creazione	HAS	intenzionalita	0.93
creazione	HAS	autenticita	0.90
creazione	OPPOSITE_OF	distruzione	0.87
opera	CAUSES	consapevolezza	0.88
opera	HAS	autenticità	0.85
opera	OPPOSITE_OF	abbandono	0.80
opera	CAUSES	trasformazione	0.87
opera	HAS	coerenza	0.84
traccia	IS_A	segno	0.95
traccia	IS_A	eco	0.92
traccia	CAUSES	rimanere	0.88
traccia	CAUSES	assenza	0.85
traccia	PART_OF	esistenza	0.90
traccia	HAS	profondità	0.82
traccia	OPPOSITE_OF	oblio	0.89
